Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid.1,place.1,region,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std,black_fraction,lpop,price,college_plus_frac
Atlanta Police Dept,GA,12,437041.0,6027.0,83,113.0,2276,3555,28554.0,6192,17212.0,5150.0,1379.0,19.0,25.9,520.8,813.4,6533.5,1416.8,3938.3,1178.4,"atlanta,GA",16000US1304000,atlanta,0.17538293216630196,0.022100656455142236,0.10787746170678338,Atlanta,atlanta,georgia,LAUCT130400000000003,10.041666666666666,432752.0,170129.0,231265.0,1335.0,700.0,1149.0,2099.0,2016.0,3154.0,4503.0,1839.0,29150.0,4266.0,18984.0,5176.0,40419.0,16572.0,8007.0,2953.0,44784.0,16000US1304000,atlanta,atlanta,0.5212139688951897,-0.3578227571115974,1.9019116883723903,193.70516244344162,142.60063245492046,-0.3938730853391685,4.145615952054134,0.5344053869190668,12.977920094633784,193.70516244344162,0.15702064924021147
Columbus Police Dept,GA,12,196178.0,994.0,17,31.0,423,523,11266.0,2709,7711.0,846.0,506.7,8.7,15.8,215.6,266.6,5742.7,1380.9,3930.6,431.2,"columbus,GA",16000US1319000,columbusga,0.1652249134948097,0.025951557093425604,0.04844290657439446,Columbus,columbusga,georgia,LAUCT131900000000003,8.883333333333336,194276.0,90317.0,87353.0,798.0,389.0,801.0,1157.0,966.0,1759.0,2064.0,1232.0,15273.0,3841.0,10961.0,3289.0,8252.0,2576.0,1301.0,714.0,39113.0,16000US1319000,columbusga,columbusga,0.4564358748112123,-0.7093425605536332,1.3114015833655601,166.8726003490455,60.382878914237736,-0.3174740484429065,4.245546383003608,0.4496335110873191,12.17703510740688,166.8726003490455,0.06610698181967922
Macon Police Dept,GA,12,92836.0,583.0,21,41.0,242,279,6699.0,1828,4371.0,500.0,628.0,22.6,44.2,260.7,300.5,7216.0,1969.1,4708.3,538.6,"macon,GA",16000US1349000,macon,0.07466666666666667,0.02266666666666667,0.076,Macon,macon,georgia,LAUCT134900000000003,10.374999999999998,91675.0,26785.0,61313.0,272.0,158.0,451.0,811.0,895.0,1327.0,1560.0,632.0,8681.0,1241.0,3317.0,792.0,1990.0,822.0,585.0,265.0,24847.0,16000US1349000,macon,macon,0.4375117140018249,-0.5853333333333334,1.4855490992580576,261.66220238091967,645.8245783099303,-0.2053333333333333,5.409992319787123,0.6688082901554404,11.426004992939527,261.66220238091967,0.03994545950368148
Savannah Police Dept,GA,12,231285.0,878.0,23,25.0,491,339,8325.0,2083,5583.0,659.0,379.6,9.9,10.8,212.3,146.6,3599.5,900.6,2413.9,284.9,"savannah,GA",16000US1369000,savannah,0.17996742671009772,0.02687296416938111,0.10749185667752444,Savannah,savannah,georgia,LAUCT136900000000003,8.875,139667.0,57047.0,75557.0,648.0,243.0,500.0,705.0,1124.0,1253.0,1808.0,1011.0,12815.0,2112.0,6531.0,2053.0,5892.0,1987.0,799.0,451.0,34832.0,16000US1369000,savannah,savannah,0.5555291848118029,-0.38721498371334695,1.8196972191826324,309.2494972348145,726.4187052421281,-0.2760586319218241,4.481731106538066,0.5409796158004396,11.847016296868162,309.2494972348145,0.0653626124997315
Statesboro Police Dept,GA,12,29713.0,86.0,2,16.0,48,20,1307.0,297,964.0,46.0,289.4,6.7,53.8,161.5,67.3,4398.7,999.6,3244.4,154.8,"statesboro,GA",16000US1373256,statesboro,0.025510204081632654,,0.015306122448979591,Statesboro,statesboro,georgia,LAUCT137325600000003,11.15,29239.0,15608.0,11528.0,38.0,7.0,123.0,141.0,14.0,189.0,190.0,62.0,1111.0,207.0,1118.0,400.0,570.0,257.0,61.0,238.0,20358.0,16000US1373256,statesboro,statesboro,0.19837118002726806,-0.9336734693877552,0.5365500196628543,251.3333333332,1.8257418581762677,-1.0,0.0,0.3942679298197613,10.283258713552488,251.3333333332,0.038510208967474945
Valdosta Police Dept,GA,12,56617.0,248.0,3,38.0,88,119,2324.0,655,1592.0,77.0,438.0,5.3,67.1,155.4,210.2,4104.8,1156.9,2811.9,136.0,"valdosta,GA",16000US1378800,valdosta,0.036945812807881784,0.009852216748768471,0.05172413793103448,Valdosta,valdosta,georgia,LAUCT137880000000003,8.291666666666668,56216.0,23634.0,28443.0,81.0,231.0,121.0,291.0,313.0,547.0,583.0,378.0,4325.0,699.0,2672.0,636.0,1916.0,860.0,319.0,321.0,28397.0,16000US1378800,valdosta,valdosta,0.33723316218935034,-0.6724137931034483,1.4224227588504412,181.1111111110667,77.7375179249012,-0.7192118226600985,2.9152600408261446,0.5059591575352212,10.936956692872034,181.1111111110667,0.06076561832930127
Honolulu Police Dept,HI,3,975875.0,566.0,5,40.0,206,315,7169.0,1243,5297.0,629.0,,,,,,,,,,"honolulu,HI",05000US15003,honolulu,0.18096514745308312,0.03351206434316354,0.15951742627345844,Honolulu,honolulu,hawaii,,,966405.0,204386.0,21563.0,3455.0,1507.0,3727.0,3221.0,2821.0,3713.0,4217.0,4613.0,89773.0,16761.0,56491.0,31771.0,64470.0,20760.0,9057.0,5220.0,70541.0,05000US15003,honolulu,honolulu,0.5501728232571783,-0.08109919571045576,2.1532791267114466,296.1532921810666,771.4127029837861,-0.2424039320822386,4.115462032004428,0.022312591511840275,13.781338279990363,296.1532921810666,0.10296614773309327
Kauai Police Department,HI,9,,154.0,0,23.0,15,116,1913.0,496,1310.0,107.0,,,,,,,,,,"kauai,HI",05000US15007,kauai,0.022222222222222227,0.022222222222222227,,Kauai,kauai,hawaii,,,67815.0,22591.0,,204.0,196.0,310.0,248.0,182.0,169.0,409.0,312.0,7237.0,997.0,4893.0,2623.0,3803.0,1010.0,659.0,217.0,60332.0,05000US15007,kauai,kauai,0.20665525288359446,-1.0,0.0,325.0,50.0,-0.4194444444444445,3.8629322411465674,,11.124538688396814,325.0,0.08388999483889995
Maui Police Department,HI,12,,411.0,5,44.0,115,247,6003.0,1067,4419.0,517.0,,,,,,,,,,"maui,HI",05000US15009,maui,0.06712962962962964,0.025462962962962958,0.09027777777777778,Maui,maui,hawaii,,,156670.0,54263.0,,451.0,275.0,880.0,619.0,497.0,1122.0,976.0,1135.0,18375.0,3132.0,9890.0,4084.0,9120.0,2476.0,980.0,334.0,61383.0,05000US15009,maui,maui,0.3988185590189604,-0.4490740740740741,1.7782389354183132,282.2701149425862,166.2502083408771,-0.29398148148148145,4.491204178112354,,11.961896961387533,282.2701149425862,0.08240250207442394
Boise Police Dept,ID,12,211569.0,567.0,1,75.0,64,427,5342.0,913,4272.0,157.0,268.0,0.5,35.4,30.3,201.8,2524.9,431.5,2019.2,74.2,"boise,ID",16000US1608830,boise,,,,Boise,boise,idaho,,,,,,,,,,,,,,,,,,,,,,,16000US1608830,,boise,,,,,,,,,,,
Lewiston Police Dept,ID,12,32337.0,55.0,0,7.0,10,38,1280.0,289,934.0,57.0,170.1,0.0,21.6,30.9,117.5,3958.3,893.7,2888.3,176.3,"lewiston,ID",16000US1646540,lewiston,0.019417475728155338,0.009708737864077669,0.014563106796116504,Lewiston,lewiston,idaho,LAUCT164654000000003,5.258333333333334,32204.0,30414.0,,125.0,22.0,46.0,190.0,104.0,158.0,204.0,227.0,3507.0,852.0,2039.0,1011.0,1303.0,540.0,174.0,120.0,43842.0,16000US1646540,lewiston,lewiston,0.22746531353373264,-0.8980582524271845,0.8406130843412513,250.0,105.19822558706332,-0.8106796116504854,1.9476270801136557,,10.379845947419872,250.0,0.06635821637063719
Twin Falls Police Deparment,ID,12,44866.0,169.0,0,20.0,17,132,1264.0,207,1001.0,56.0,376.7,0.0,44.6,37.9,294.2,2817.3,461.4,2231.1,124.8,"twin falls police deparment,ID",04001US16,eastidaho,0.040145985401459854,0.0036496350364963507,0.06569343065693431,East Idaho,eastidaho,idaho,,,1128079.0,1033423.0,7782.0,3259.0,1849.0,4150.0,4723.0,4491.0,6977.0,6347.0,4970.0,87182.0,26212.0,61962.0,29061.0,62611.0,21883.0,7137.0,5430.0,44142.0,04001US16,eastidaho,eastidaho,0.366726577525498,-0.6167883211678832,1.4685503725736417,242.27272727272728,43.72434312620582,-0.9051094890510948,1.5707174426584598,0.0068984530338744,13.936026744048766,242.27272727272728,0.08604095989731216
Bloomington Police Dept,IL,12,77107.0,372.0,1,42.0,45,284,1797.0,357,1396.0,44.0,482.4,1.3,54.5,58.4,368.3,2330.5,463.0,1810.5,57.1,"bloomington,IL",16000US1706613,bloomington,0.11466165413533835,0.02067669172932331,0.09962406015037592,Bloomington,bloomington,illinois,LAUCT170661300000003,7.3583333333333325,77196.0,59809.0,8850.0,65.0,0.0,100.0,259.0,176.0,232.0,358.0,266.0,4588.0,1343.0,3814.0,1569.0,7661.0,2470.0,500.0,339.0,60319.0,16000US1706613,bloomington,bloomington,0.4864059731459833,-0.4454887218045113,1.6918544038390837,349.856557376836,467.91417386505236,-0.4586466165413534,3.8341537381888617,0.11464324576402922,11.254102921199001,349.856557376836,0.1421058085911187
Carbondale Police Dept,IL,12,25972.0,260.0,0,29.0,36,195,1092.0,246,798.0,48.0,1001.1,0.0,111.7,138.6,750.8,4204.5,947.2,3072.5,184.8,"carbondale,IL",16000US1711163,carbondale,0.08588957055214724,0.003067484662576687,0.033742331288343565,Carbondale,carbondale,illinois,LAUCT171116300000003,8.058333333333334,25583.0,16174.0,6574.0,48.0,0.0,37.0,13.0,16.0,11.0,78.0,95.0,978.0,74.0,1226.0,372.0,1204.0,860.0,30.0,331.0,17444.0,16000US1711163,carbondale,carbondale,0.3378302921239384,-0.8251533742331288,0.981417722295014,249.28571428571428,77.32464373730105,-0.941717791411043,1.0523126736812516,0.2569675174920846,10.14968334738049,249.28571428571428,0.09478950865809327
Chicago Police Dept,IL,12,2708382.0,,500,,13476,12272,112466.0,22748,72717.0,17001.0,,18.5,,497.6,453.1,4152.5,839.9,2684.9,627.7,"chicago,IL",16000US1714000,chicago,0.15652979314603271,0.03622517237830606,0.17556859112894924,Chicago,chicago,illinois,LAUCT171400000000003,10.458333333333334,2705981.0,1289818.0,879617.0,15402.0,11806.0,31224.0,25489.0,19127.0,20591.0,24020.0,21926.0,205545.0,33424.0,120385.0,41575.0,169529.0,68375.0,29520.0,13023.0,45483.0,16000US1714000,chicago,chicago,0.6012860163687813,0.024733285307536282,2.2787736030352,246.30394842573799,232.5467636488589,-0.10048540358821656,4.764619980881814,0.3250639971234092,14.81097506625437,246.30394842573799,0.10363967817955855
Decatur Police Dept,IL,12,76131.0,352.0,6,26.0,106,214,2448.0,921,1445.0,82.0,462.4,7.9,34.2,139.2,281.1,3215.5,1209.8,1898.0,107.7,"decatur,IL",16000US1718823,decatur,0.00881057268722467,0.00881057268722467,0.01762114537444934,Decatur,decatur,illinois,LAUCT171882300000003,13.675,76080.0,54476.0,17656.0,251.0,12.0,47.0,404.0,536.0,689.0,878.0,547.0,8075.0,2082.0,3404.0,1448.0,3254.0,1141.0,330.0,233.0,38878.0,16000US1718823,decatur,decatur,0.18479912167464546,-0.8854625550660793,0.8648034879131311,165.0,120.20815280171308,-0.8105726872246696,2.0141695246721336,0.2320715036803365,11.239540697219272,165.0,0.06516824395373291
La Salle County Sheriff Department,IL,12,,30.0,0,11.0,3,16,416.0,147,253.0,16.0,,,,,,,,,,"la salle county,IL",05000US17099,lasalle,0.028571428571428567,0.020408163265306117,0.024489795918367342,La Salle County,lasalle,illinois,,,113423.0,107418.0,2864.0,169.0,40.0,251.0,786.0,445.0,1198.0,1181.0,816.0,14786.0,3743.0,6269.0,3220.0,3862.0,1107.0,380.0,208.0,49754.0,05000US17099,lasalle,lasalle,0.3180212322817467,-0.863265306122449,0.8746647783043261,282.14285714285717,85.04200642707612,-0.4571428571428571,3.7918700780122454,0.025250610546361848,11.638879471579703,282.14285714285717,0.04899359036526983
Peoria Police Dept,IL,12,115288.0,919.0,10,25.0,324,560,5022.0,1420,3370.0,232.0,797.1,8.7,21.7,281.0,485.7,4356.0,1231.7,2923.1,201.2,"peoria,IL",16000US1759000,peoria,0.0977859778597786,0.038745387453874534,0.1051660516605166,Peoria,peoria,illinois,LAUCT175900000000003,10.35,114398.0,72454.0,31713.0,119.0,69.0,236.0,686.0,810.0,639.0,796.0,661.0,8783.0,1904.0,5239.0,1952.0,6711.0,3501.0,1281.0,569.0,44061.0,16000US1759000,peoria,peoria,0.485154163764555,-0.4501845018450185,1.6462330166758727,212.13312368972262,309.75031384230635,-0.03690036900369004,4.983755866531811,0.2772163849018339,11.647438875257532,212.13312368972262,0.10543890627458521
Rockford Police Dept,IL,12,152293.0,2083.0,9,124.0,499,1451,7608.0,2224,5003.0,381.0,1367.8,5.9,81.4,327.7,952.8,4995.6,1460.3,3285.1,250.2,"rockford,IL",16000US1765000,rockford,0.08196721311475409,0.023224043715847,0.12295081967213115,Rockford,rockford,illinois,LAUCT176500000000003,13.1,152235.0,103907.0,32414.0,863.0,361.0,778.0,1177.0,1129.0,1180.0,2146.0,1184.0,15794.0,3051.0,5893.0,3111.0,5512.0,2343.0,1290.0,349.0,36870.0,16000US1765000,rockford,rockford,0.4359060147073708,-0.2527322404371585,2.029955063258715,221.45555555556663,373.8961743790883,-0.3155737704918033,4.583934125215797,0.21292081321640885,11.933180658551029,221.45555555556663,0.0623641081223109
Springfield Police Dept,IL,12,117131.0,1138.0,10,76.0,260,792,6945.0,1670,5033.0,242.0,971.6,8.5,64.9,222.0,676.2,5929.3,1425.8,4296.9,206.6,"springfield,IL",16000US1772000,springfieldil,0.23823109843081314,0.03851640513552068,0.1754636233951498,Springfield,springfieldil,illinois,LAUCT177200000000003,8.166666666666666,116824.0,88483.0,22344.0,318.0,75.0,143.0,679.0,485.0,1063.0,831.0,472.0,8904.0,2280.0,5352.0,2841.0,8201.0,3259.0,1356.0,499.0,46615.0,16000US1772000,springfieldil,springfieldil,0.7797884994876219,-0.08202567760342368,2.0172589335665374,242.98371114912575,182.8420801798016,-0.03566333808844508,4.888924570108557,0.19126206943778676,11.668423807720307,242.98371114912575,0.1139748681777717
Bloomington Police Dept,IN,12,81636.0,243.0,3,18.0,42,180,3244.0,622,2471.0,151.0,297.7,3.7,22.0,51.4,220.5,3973.7,761.9,3026.9,185.0,"bloomington,IN",16000US1805860,bloomingtonin,0.11442786069651742,0.00746268656716418,0.02985074626865672,Bloomington,bloomingtonin,indiana,LAUCT180586000000003,6.175000000000002,80127.0,65898.0,,83.0,5.0,53.0,231.0,300.0,303.0,191.0,134.0,2428.0,750.0,2569.0,823.0,4765.0,2892.0,386.0,2029.0,26925.0,16000US1805860,bloomingtonin,bloomingtonin,0.38598832271603184,-0.8333333333333334,0.9859781696142887,163.768115942,83.64049670588301,-0.7487562189054726,3.0366113390114813,,11.291368154909891,163.768115942,0.12570045053477605
Evansville Police Dept,IN,12,118194.0,560.0,8,56.0,199,297,6083.0,1132,4531.0,420.0,473.8,6.8,47.4,168.4,251.3,5146.6,957.7,3833.5,355.3,"evansville,IN",16000US1822000,evansville,0.06321839080459771,0.0210727969348659,0.07471264367816093,Evansville,evansville,indiana,LAUCT182200000000003,7.516666666666667,120386.0,99677.0,14491.0,294.0,44.0,272.0,650.0,616.0,1317.0,1224.0,868.0,13948.0,2495.0,6984.0,2224.0,4227.0,1284.0,528.0,325.0,35282.0,16000US1822000,evansville,evansville,0.3814375324428856,-0.5708812260536399,1.5451474375954868,218.21969696969697,146.45178656861228,-0.44636015325670503,3.887821944329296,0.12037113950127092,11.698458526026155,218.21969696969697,0.05286328975129999
Indianapolis Police Dept,IN,12,838650.0,9942.0,97,436.0,3442,5967,46898.0,14774,27525.0,4599.0,1185.5,11.6,52.0,410.4,711.5,5592.1,1761.6,3282.1,548.4,"indianapolis,IN",16000US1836003,indianapolis,0.16691654172913542,0.04447776111944028,0.11944027986006996,Indianapolis,indianapolis,indiana,,,6514516.0,5515975.0,589237.0,19771.0,6865.0,16656.0,46767.0,36595.0,54043.0,55856.0,36213.0,737832.0,135417.0,287171.0,143568.0,305349.0,110797.0,34794.0,26004.0,47185.0,16000US1836003,indianapolis,indianapolis,0.5852296584448179,-0.27386306846576713,2.020386477691924,207.77178975382725,281.5430475404375,0.3363318340829585,6.3912693839198385,0.09044985076404755,15.689543475681667,207.77178975382725,0.07321249959321613
Kokomo Police Dept,IN,12,45636.0,177.0,4,15.0,61,97,1857.0,462,1294.0,101.0,387.9,8.8,32.9,133.7,212.6,4069.2,1012.4,2835.5,221.3,"kokomo,IN",16000US1840392,kokomo,0.07526881720430108,0.007168458781362006,0.03942652329749104,Kokomo,kokomo,indiana,LAUCT184039200000003,8.025,56431.0,47788.0,5647.0,121.0,12.0,65.0,537.0,245.0,519.0,596.0,182.0,7026.0,1244.0,2924.0,1561.0,2081.0,695.0,99.0,134.0,33598.0,16000US1840392,kokomo,kokomo,0.3690188762420205,-0.7598566308243727,1.2128069503411505,175.84656084657618,104.45561687404008,-0.8351254480286738,1.9438297237663464,0.10006911094965533,10.940773931876523,175.84656084657618,0.053321755772536374
Lafayette Police Dept,IN,12,68160.0,407.0,1,36.0,69,301,3293.0,713,2382.0,198.0,597.1,1.5,52.8,101.2,441.6,4831.3,1046.1,3494.7,290.5,"lafayette,IN",16000US1840788,tippecanoe,0.0933786078098472,0.04414261460101868,0.04753820033955857,Lafayette,tippecanoe,indiana,LAUCT184078800000003,7.474999999999999,66822.0,58340.0,4433.0,215.0,146.0,439.0,365.0,501.0,355.0,621.0,226.0,6506.0,1287.0,2824.0,1460.0,3606.0,1158.0,257.0,260.0,38225.0,16000US1840788,tippecanoe,tippecanoe,0.44191243884483344,-0.7410865874363328,1.1975497267053432,209.14285714287269,89.35480395691303,0.08715336728913413,5.32769215450534,0.06634042680554308,11.109787646621156,209.14285714287269,0.07903085810062555
Muncie Police Dept,IN,12,70300.0,258.0,1,9.0,99,149,2934.0,690,2041.0,203.0,367.0,1.4,12.8,140.8,211.9,4173.5,981.5,2903.3,288.8,"muncie,IN",16000US1851876,muncie,0.08298755186721991,0.012448132780082987,0.03734439834024896,Muncie,muncie,indiana,LAUCT185187600000003,9.025,69830.0,58621.0,5295.0,224.0,35.0,134.0,468.0,354.0,774.0,609.0,383.0,6056.0,1449.0,2405.0,853.0,1663.0,1204.0,213.0,653.0,28975.0,16000US1851876,muncie,muncie,0.4069758251645009,-0.7863070539419087,1.0978099662472105,215.85555555555,81.06945457592394,-0.6514522821576764,3.174587894318755,0.07582700844909065,11.153818995840082,215.85555555555,0.05345839896892453
Richmond City Police Dept,IN,7,36785.0,116.0,4,30.0,32,50,1081.0,333,665.0,83.0,,,,,,,,,,"richmond city,IN",16000US1864260,richmondin,0.03954802259887006,,0.02824858757062147,Richmond,richmondin,indiana,LAUCT186426000000003,9.124999999999998,36587.0,30957.0,1935.0,166.0,67.0,40.0,222.0,454.0,427.0,364.0,254.0,4547.0,668.0,1289.0,871.0,832.0,628.0,149.0,105.0,28492.0,16000US1864260,richmondin,richmondin,0.2521097420448053,-0.7966101694915254,1.198194584339893,308.57142857142856,85.5235974119758,-1.0,0.0,0.052887637685516714,10.507448265037272,308.57142857142856,0.04684724082324323
South Bend Police Dept,IN,12,101398.0,622.0,18,55.0,316,233,4827.0,1744,2798.0,285.0,613.4,17.8,54.2,311.6,229.8,4760.4,1720.0,2759.4,281.1,"south bend,IN",16000US1871000,southbend,0.10500410172272356,0.026251025430680888,0.04593929450369155,South Bend,southbend,indiana,LAUCT187100000000003,10.283333333333333,99803.0,62711.0,27609.0,405.0,123.0,256.0,460.0,626.0,1067.0,1223.0,811.0,8968.0,1860.0,4804.0,1824.0,3849.0,1877.0,633.0,735.0,33420.0,16000US1871000,southbend,southbend,0.4109802500678932,-0.689909762100082,1.4328958042855404,196.66015625,76.10145528890412,-0.2977850697292863,4.398919857314307,0.27663497089265854,11.510953521968,196.66015625,0.07108002765447932
Terre Haute Police Dept,IN,12,61152.0,191.0,4,29.0,85,73,3730.0,1035,2412.0,283.0,312.3,6.5,47.4,139.0,119.4,6099.6,1692.5,3944.3,462.8,"terre haute,IN",16000US1875428,terrehaute,0.02298850574712644,,0.0842911877394636,Terre Haute,terrehaute,indiana,LAUCT187542800000003,10.066666666666666,61181.0,51359.0,6322.0,272.0,0.0,126.0,396.0,444.0,748.0,739.0,479.0,6786.0,1382.0,2842.0,1505.0,1836.0,770.0,172.0,649.0,31989.0,16000US1875428,terrehaute,terrehaute,0.31006307411914336,-0.5210727969348659,1.6233087051982849,137.5,85.07349763586778,-1.0,0.0,0.1033327340187313,11.021591962782166,137.5,0.0560141220313496
Ames Police Dept,IA,12,59271.0,78.0,0,32.0,7,39,1454.0,291,1132.0,31.0,131.6,0.0,54.0,11.8,65.8,2453.1,491.0,1909.9,52.3,"ames,IA",16000US1901855,ames,,,,Ames,ames,iowa,LAUCT190185500000003,3.1750000000000003,59941.0,50694.0,,5.0,0.0,0.0,68.0,68.0,56.0,58.0,24.0,1276.0,449.0,1741.0,790.0,4734.0,2143.0,447.0,1671.0,40945.0,16000US1901855,ames,ames,,,,,,,,,11.001116024081504,,0.15006422982599557
Cedar Rapids Police Dept,IA,12,128401.0,356.0,3,43.0,97,213,4723.0,966,3503.0,254.0,277.3,2.3,33.5,75.5,165.9,3678.3,752.3,2728.2,197.8,"cedar rapids,IA",16000US1912000,cedarrapids,0.04981549815498155,0.016605166051660517,0.1162361623616236,Cedar Rapids,cedarrapids,iowa,LAUCT191200000000003,4.933333333333334,127503.0,111590.0,7940.0,355.0,39.0,72.0,514.0,298.0,626.0,769.0,603.0,10440.0,3237.0,6467.0,3952.0,8345.0,2769.0,900.0,411.0,52455.0,16000US1912000,cedarrapids,cedarrapids,0.4188642644494685,-0.34501845018450183,1.8723010395375568,208.36522633744443,109.8850459906468,-0.514760147601476,3.864952699497311,0.06227304455581437,11.75589517271557,208.36522633744443,0.09744868748186317
Des Moines Police Dept,IA,12,207400.0,1094.0,7,100.0,250,737,10210.0,2514,6914.0,782.0,527.5,3.4,48.2,120.5,355.4,4922.9,1212.2,3333.7,377.0,"des moines,IA",16000US1921000,desmoines,0.15049656226126815,0.03284950343773873,0.1703590527119939,Des Moines,desmoines,iowa,LAUCT192100000000003,5.6416666666666675,205622.0,160091.0,21646.0,604.0,312.0,1262.0,1045.0,1191.0,1308.0,1852.0,1084.0,21430.0,4282.0,9299.0,4814.0,11014.0,2698.0,1149.0,503.0,44292.0,16000US1921000,desmoines,desmoines,0.5925341640853617,-0.05385790679908327,2.144877443796553,192.0896785109832,84.15646277850178,-0.1115355233002292,4.996154164196147,0.10527083677816576,12.23379481072969,192.0896785109832,0.07471963116787114
Dubuque Police Dept,IA,12,58460.0,128.0,2,20.0,22,84,1855.0,649,1160.0,46.0,219.0,3.4,34.2,37.6,143.7,3173.1,1110.2,1984.3,78.7,"dubuque,IA",16000US1922395,dubuque,0.04618937644341802,0.016166281755196306,0.07621247113163973,Dubuque,dubuque,iowa,LAUCT192239500000003,4.458333333333333,57908.0,53207.0,,80.0,13.0,50.0,444.0,234.0,344.0,288.0,370.0,6373.0,1000.0,2579.0,1316.0,3562.0,1101.0,418.0,202.0,44737.0,16000US1922395,dubuque,dubuque,0.4130002921266812,-0.5404157043879908,1.6298309424182351,235.7916666667,98.26100335689598,-0.6027713625866051,3.1305235164355145,,10.966610823273934,235.7916666667,0.09123091800787456
Fort Dodge Police Dept,IA,12,25078.0,134.0,0,23.0,18,93,1167.0,207,902.0,58.0,534.3,0.0,91.7,71.8,370.8,4653.5,825.4,3596.8,231.3,"fort dodge,IA",16000US1928515,fortdodge,0.042857142857142864,0.0047619047619047615,0.042857142857142864,Fort Dodge,fortdodge,iowa,LAUCT192851500000003,5.433333333333334,24966.0,22190.0,,40.0,41.0,70.0,298.0,202.0,155.0,334.0,178.0,2748.0,634.0,1199.0,844.0,906.0,478.0,194.0,28.0,36331.0,16000US1928515,fortdodge,fortdodge,0.3742996802383972,-0.7380952380952381,1.2462292179264531,371.66666666666674,236.29959796834186,-0.8380952380952381,2.3462229017640044,,10.125270178210997,371.66666666666674,0.06432748538011696
Ottumwa Police Dept,IA,12,24977.0,70.0,1,7.0,17,45,960.0,263,662.0,35.0,280.3,4.0,28.0,68.1,180.2,3843.5,1053.0,2650.4,140.1,"ottumwa,IA",16000US1960465,ottumwa,0.016666666666666666,,0.03333333333333333,Ottumwa,ottumwa,iowa,LAUCT196046500000003,6.341666666666668,24887.0,22794.0,,125.0,24.0,123.0,237.0,218.0,192.0,295.0,131.0,3013.0,520.0,1006.0,537.0,807.0,322.0,134.0,60.0,35879.0,16000US1960465,ottumwa,ottumwa,0.2427726250754675,-0.8111111111111111,1.0345370534493448,256.6666666666667,40.41451884327381,-1.0,0.0,,10.122100857763806,256.6666666666667,0.05316028448587616
Waterloo Police Dept,IA,12,68919.0,470.0,4,64.0,69,333,2514.0,828,1590.0,96.0,682.0,5.8,92.9,100.1,483.2,3647.8,1201.4,2307.1,139.3,"waterloo,IA",16000US1982425,waterloo,0.039080459770114935,0.006896551724137931,0.0942528735632184,Waterloo,waterloo,iowa,LAUCT198242500000003,5.633333333333334,68361.0,53970.0,10297.0,368.0,91.0,234.0,619.0,349.0,520.0,761.0,653.0,8178.0,1369.0,2519.0,1776.0,3215.0,626.0,341.0,34.0,41492.0,16000US1982425,waterloo,waterloo,0.3971267108247034,-0.4344827586206896,1.7811627995444022,209.3333333333529,63.850519879585704,-0.8367816091954023,1.965961200781687,0.15062681938532205,11.132557765560216,209.3333333333529,0.06167259109726306
Lawrence Police Dept,KS,12,89180.0,370.0,0,52.0,53,265,3997.0,604,3190.0,203.0,414.9,0.0,58.3,59.4,297.2,4481.9,677.3,3577.0,227.6,"lawrence,KS",16000US2038900,lawrence,0.012307692307692308,0.012307692307692308,0.024615384615384612,Lawrence,lawrence,kansas,LAUCT203890000000003,5.008333333333334,88791.0,73557.0,3871.0,75.0,0.0,141.0,113.0,280.0,175.0,522.0,139.0,3638.0,1119.0,3814.0,1099.0,6115.0,3219.0,1031.0,1595.0,45514.0,16000US2038900,lawrence,lawrence,0.24351025843670865,-0.8523076923076923,0.9377388901079514,215.75,122.09866229133443,-0.7076923076923077,2.626568178985728,0.043596760932977444,11.394040572492514,215.75,0.1346983365431181
Salina Police Dept,KS,12,48155.0,161.0,1,19.0,23,118,2353.0,445,1801.0,107.0,334.3,2.1,39.5,47.8,245.0,4886.3,924.1,3740.0,222.2,"salina,KS",16000US2062700,salina,,,,Salina,salina,kansas,LAUCT206270000000003,5.349999999999999,48637.0,42448.0,,72.0,108.0,249.0,152.0,304.0,162.0,588.0,167.0,5161.0,1384.0,2456.0,736.0,2191.0,882.0,378.0,141.0,42116.0,16000US2062700,salina,salina,,,,,,,,,10.792139837106326,,0.07385323930341098
